unique_ID,Latitude,Longitude,Date,Year,State,Source,CO,CO_dist,CO_nobs,NO2,NO2_dist,NO2_nobs,O3,O3_dist,O3_nobs,SO2,SO2_dist,SO2_nobs,PM2.5,PM2.5_dist,PM2.5_daydiff,PM10,PM10_dist,PM10_daydiff,Lead,Lead_dist,Lead_daydiff,wind,wind_dist,tavg,tavg_dist,tmax,tmax_dist,tmin,tmin_dist,precip,precip_dist,PDSI,PM2.5_exc_val,PM2.5_exc_dist,PM2.5_exc_daydiff,PM10_exc_val,PM10_exc_dist,PM10_exc_daydiff,Lead_exc_val,Lead_exc_dist,Lead_exc_daydiff,CO_exc_val,CO_exc_dist,NO2_exc_val,NO2_exc_dist,O3_exc_val,O3_exc_dist,SO2_exc_val,SO2_exc_dist
33988,47.5814,-116.0933,2010-11-30,2010,ID,USFS,0.762,61.91912399,24,7.267,302.047505,24,0.033,271.0855915,23,0.288,275.6229729,24,22.75,7.380966039,0,14,7.380966039,0,0.003,374.2019281,2,3.3,22.64338563,-3.1,8.532532786,-1.1,8.532532786,-5.6,8.532532786,0,3.086527036,1.73,38.417,725.601,0,208,1030.667,1,0.16,945.312,1,NA,NA,NA,NA,NA,NA,NA,NA
33989,47.5738,-116.0833,2010-08-31,2010,ID,USFS,0.454,62.43279867,24,0.625,36.73563247,24,0.033,36.73563247,24,0.692,275.1199113,24,6.636,7.612785731,0,13,7.612785731,0,0.028,374.4248775,1,2.5,22.01496097,8.9,7.84666138,12.2,7.84666138,7.2,7.84666138,5.8,9.836767742,2.19,NA,NA,NA,210,673.146,3,0.24,944.851,0,NA,NA,NA,NA,0.071,725.918,NA,NA
33990,47.5734,-116.0904,2010-08-31,2010,ID,USFS,0.454,62.10576304,24,0.625,36.44499974,24,0.033,36.44499974,24,0.692,275.0765157,24,6.636,7.292213959,0,13,7.292213959,0,0.028,374.1091832,1,2.5,22.31386811,8.9,8.104214908,12.2,8.104214908,7.2,8.104214908,5.8,10.05992658,2.19,NA,NA,NA,210,673.042,3,0.24,944.78,0,NA,NA,NA,NA,0.071,726.163,NA,NA
33991,47.5809,-116.0814,2010-08-31,2010,ID,USFS,0.454,62.47523157,24,0.625,36.61872157,24,0.033,36.61872157,24,0.692,275.6147346,24,6.636,7.874529684,0,13,7.874529684,0,0.028,374.698942,1,2.5,22.11692863,8.9,8.070138209,12.2,8.070138209,7.2,8.070138209,5.8,10.12112979,2.19,NA,NA,NA,210,673.644,3,0.24,945.349,0,NA,NA,NA,NA,0.071,726.148,NA,NA
33992,47.5825,-116.0757,2010-08-31,2010,ID,USFS,0.454,62.73036499,24,0.625,36.81941152,24,0.033,36.81941152,24,0.692,275.7382992,24,6.636,8.162585084,0,13,8.162585084,0,0.028,374.9869915,1,2.5,21.91509675,8.9,7.934610861,12.2,7.934610861,7.2,7.934610861,5.8,10.02025616,2.19,NA,NA,NA,210,673.813,3,0.24,945.493,0,NA,NA,NA,NA,0.071,726.006,NA,NA
33993,47.1095,-114.4066,2010-09-15,2010,MT,USFS,0.575,145.9242674,24,4.636,121.6068045,22,0.019,25.92748145,24,0.642,260.3806175,24,10.075,10.88353674,0,18,25.92748145,0,0.007,438.8786654,2,0.7,19.74333273,14,2.684914441,23.3,2.684914441,5,2.684914441,0,6.063629193,2.11,NA,NA,NA,154,983.582,2,0.45,927.636,0,NA,NA,NA,NA,0.071,618.739,NA,NA
33994,47.3897,-113.5352,2010-06-28,2010,MT,USFS,0.5,182.221684,24,3.522,222.5176703,23,0.03,44.25253698,24,0.391,256.6188237,23,8.429,41.56889322,0,27,28.13327119,0,0.012,467.6277795,3,0.8,41.70268952,19.4,11.79356098,28.3,8.40044696,8.3,8.40044696,0,8.40044696,1.89,41,1022.875,0,229,1029.832,3,0.19,956.953,0,NA,NA,NA,NA,0.072,434.597,90,977.792
33995,47.5732,-116.0847,2010-09-25,2010,ID,USFS,0.525,62.37183215,24,3.75,36.69306537,24,0.019,36.69306537,24,0.654,275.0753156,24,8.375,7.537272056,0,11,7.537272056,0,0.013,374.3485129,2,2.9,22.0607481,19.6,7.87642778,27.2,7.87642778,12.2,7.87642778,0,9.855505422,1.85,NA,NA,NA,283,1037.252,0,0.27,944.801,0,NA,NA,NA,NA,0.071,510.33,NA,NA
33996,47.6559,-115.4898,2010-08-10,2010,MT,USFS,0.358,89.78923568,24,0.792,61.8655372,24,0.032,61.8655372,24,0.465,283.5499793,23,3.271,8.833350635,0,13,8.833350635,2,0.02,402.1721933,2,1.4,15.5551341,19.2,10.8770967,28.3,10.8770967,8.3,10.8770967,0,2.698371097,1.88,46.208,286.642,3,NA,NA,NA,0.24,954.526,0,NA,NA,NA,NA,0.072,600.215,78,1015.273
33997,47.6644,-115.6126,2010-08-10,2010,MT,USFS,0.358,84.06422154,24,0.792,56.12378883,24,0.032,56.12378883,24,0.465,283.3259054,23,3.271,14.30935741,0,13,14.30935741,2,0.02,397.0909614,2,1.4,14.4323764,13,12.06990379,17.8,12.06990379,9.8,12.06990379,0,6.649858931,1.88,46.208,286.207,3,NA,NA,NA,0.24,954.19,0,NA,NA,NA,NA,0.072,598.618,78,1017.38
